Ortet,dbh_bv,str_bv,br_bv,den_bv,pme_bv
286764,4.877672872,-0.813906365,-0.251845416,-6.929268242,-1.030631867
286765,-1.80767182,0.608696465,0.86196354100000006,4.099032509,-0.88639963
286766,-3.227309193,0.163875896,-0.887491143,9.422031633,0.050956062
286767,-3.33094342,-0.040074167,-0.06604326,8.168231616,-0.021633945
288001,11.96000766,0.130353494,1.000925203,4.210321487,0.207602972
288002,5.682377821,-0.846628666,1.187238922,17.55344417,-0.217543995
288003,11.35753728,-0.422584918,0.732462519,5.524778511,-0.216976151
288004,6.817742237,0.103545657,1.019985652,-16.42301243,-0.44390654
288006,3.496841582,0.471570757,1.005374466,14.43238056,0.220694412
288007,20.0307575,0.16366168,0.729579031,-19.1978366,0.047325137
288008,11.76161543,0.777525114,0.42692576,17.04964682,0.195292466
288009,3.958824522,0.554999205,1.338863958,7.797907611,-0.050937988
288010,13.21203737,1.337913116,1.145549559,3.976931161,-0.311298158
288011,6.719415898,0.337001467,0.707368629,12.21025133,-0.111832282
288012,15.27340186,0.771994747,0.614985088,4.404699204,0.386850851
288013,24.95449498,0.706473173,0.772359177,2.249368707,0.373513903
288014,3.9713798,0.508332625,1.381510525,6.567284553,0.054709231999999997
288101,32.20864462,0.273895162,1.549045884,10.9458397,0.848576297
288102,20.56620673,0.738388069,1.342266106,10.29153808,0.690553922
288103,8.036952188,0.38190628,0.293140386,-7.704579291,0.985820904
288104,17.84572956,0.455467894,1.432115561,4.405566337,0.269800472
288105,19.55707744,-0.135506268,1.450055861,-2.596138896,0.566154034
288106,5.260298699,0.62217728,1.102638814,-9.895575187,-0.745594123
288107,4.828105445,0.677508743,1.053293137,-7.229561601,-0.220017517
288108,2.595590853,0.62654503,0.456723699,8.92174565,-1.310516891
288109,7.568377086,1.193003485,1.293783237,8.33618777,-0.532325351
288110,-7.037050581,0.146576109,0.344865071,0.562671677,-0.024920678
288111,22.38024846,0.840655642,1.179570007,-22.25235798,-0.194719349
288113,8.958412126,0.356599881,0.988307723,-0.630522892,-1.248336149
288114,6.339795942,0.738386117,0.891788442,10.92483105,-0.47688855
288115,7.290146987,0.554681105,1.296242679,-0.896252331,-0.240205801
288201,3.399636664,0.65540918,1.450685328,-18.4129893,0.468008482
288202,17.86606786,1.37356786,0.772185998,-13.15243587,1.344476774
288301,6.676797908,1.181431085,-0.076417053,0.526597371,0.154788764
288302,3.548525596,0.461973246,0.784173602,-3.046373261,0.783816199
288304,28.18408751,0.559392507,1.008974987,14.90205846,0.861394104
288305,1.019111553,1.328116554,0.627423492,-0.163063184,1.395710603
288401,13.32791715,0.885432609,1.315542158,-15.81968292,0.170722795
288402,8.813168994,1.086616236,1.914976212,26.66361481,2.245153247
288403,6.97408432,0.508138378,0.554304337,13.30130335,0.159795484
288404,5.15706768,0.350098799,-0.105653568,7.063519902,0.017198731
288405,12.76676919,0.785019888,0.865379675,25.92784625,0.275315005
288406,8.862567894,0.219564005,0.926625644,20.63009797,0.562921259
288407,19.28854683,0.897441816,0.62302845,-11.37617649,0.152359877
288408,13.74303873,0.445325912,0.664863843,18.23877555,-0.573739908
288409,22.37799983,1.176453412,1.183190015,-12.74761577,0.235563163
306001,0.115674452,0.620735438,0.495276699,16.02244275,0.464626898
306002,13.26151744,0.49522507,0.347029044,-7.219876046,-0.336525181
306003,-2.017002207,0.580364623,1.130751749,12.62128651,0.472244269
306004,4.443350507,0.609864285,1.032240135,8.472796462,-0.261700209
306005,13.81254019,0.36543209,0.194656746,4.171218602,-0.337112666
306006,12.25861232,-0.603257972,0.832601367,-10.217003739999999,-0.42316562
306007,6.574791059,0.74284345,0.57090073,-16.78045793,0.12656538
306008,2.355887419,-0.086513612,0.87128961,-12.09974133,0.25215809
306009,4.861937108,0.580646001,0.559615144,-0.388320307,0.191489946
306010,15.77810704,0.550260749,0.621038292,-27.71143656,0.38775943
306011,21.85975718,0.108408169,1.01620168,-9.507241555,-0.139611071
